Date,USTRADE,CPIAUCSL,GFDEBTN,INDPRO,M2SL,POPTHM,Real_Estate_Loans_All_Commercial_Banks_Daily,Real_Personal_Consumption_Expenditures_Daily,Real_Government_Consumption_Expenditures_and_Gross_Investment,Real_Gross_Private_Domestic_Investment,Real_Final_Sales_to_Private_Domestic_Purchasers_Daily,Real_Disposable_Personal_Income_Daily,Personal_Consumption_Expenditures_Durable_Goods_Daily,Domestic_Nonfinancial_Sectors_Debt_Securities_and_Loans_Liability_Level_Daily,All_Employees_Total_Nonfarm_Daily,Commercial_and_Industrial_Loans_All_Commercial_Banks_Daily,GDP
01-01-1966,6417.9,31.88,320999,33.1709,462,195614,48.3775,2804.899,1489.775,597.563,3355.222,3229.916,70.2,1047.918,62529,69.9831,909.387
01-04-1966,6472.5,32.28,316097,33.8967,469.3,196089,49.8439,2812.086,1517.912,588.717,3354.8,3238.486,72.5,1068.474,63437,72.3728,934.344
01-07-1966,6559.3,32.45,324748,34.5687,470.9,196661,51.0945,2844.198,1559.275,584.373,3385.637,3278.055,69.6,1081.064,64301,76.7826,950.825
01-10-1966,6597.3,32.85,329319,35.16,475.7,197303,51.9758,2856.047,1586.198,587.798,3377.531,3316.465,73.4,1102.733,64854,78.0104,968.03
01-01-1967,6630.5,32.9,330947,35.1638,481.6,197814,52.8101,2872.504,1653.233,573.373,3379.574,3366.472,72.5,1113.632,65407,79.274,993.337
01-04-1967,6616.8,33.1,322893,34.8951,492.1,198287,53.505,2911.776,1646.377,552.629,3433.41,3393.192,74.3,1126.921,65466,81.185,1009.02
01-07-1967,6719,33.4,335896,34.5076,506.3,198812,54.5249,2926.685,1664.669,568.833,3455.887,3425.442,74.4,1149.195,65888,83.7351,1029.956
01-10-1967,6766.7,33.7,344663,35.3976,518.2,199405,55.7795,2944.594,1677.307,581.104,3494.185,3450.452,74.1,1190.912,66225,84.1043,1038.147
01-01-1968,6809.8,34.1,349473,36.2514,527.4,199864,57.3534,3015.162,1707.281,592.754,3576.737,3507.99,79.7,1198.841,66804,86.5509,1051.2
01-04-1968,6921.4,34.4,345369,36.5477,535.7,200285,59.0422,3061.075,1716.107,615.427,3617.824,3565.717,81.4,1222.949,67556,88.421,1067.375
01-07-1968,6987,34.9,354743,37.0366,545.6,200802,60.5934,3118.445,1721.216,598.643,3683.213,3577.118,86.9,1247.994,68126,91.0358,1086.059
01-10-1968,7084.2,35.3,358029,37.3546,557.6,201378,62.0005,3132.511,1722.739,605.155,3714.448,3604.797,88.1,1280.418,68721,92.8125,1088.608
01-01-1969,7154,35.7,359546,38.1869,569.3,201821,63.9303,3167.245,1726.594,640.79,3768.809,3613.735,90.1,1293.301,69439,97.1481,1135.156
01-04-1969,7224.1,36.3,352895,38.5901,575.7,202246,65.9054,3187.677,1721.163,637.015,3792.149,3649.115,90.4,1312.48,70072,100.7715,1156.271
01-07-1969,7321.4,36.8,360685,39.0248,579.5,202777,67.1591,3203.218,1724.612,649.948,3818.33,3723.489,88.6,1335.751,70729,103.0557,1177.675
01-10-1969,7387.9,37.3,368226,39.1171,583.4,203401,68.0342,3228.82,1701.376,618.565,3823.929,3751.967,91.4,1366.289,71121,104.3372,1190.297
01-01-1970,7427.2,37.9,372007,37.9288,589.6,203929,68.9435,3248.853,1693.165,600.116,3838.622,3791.373,89.3,1375.066,71176,106.2979,1230.609
01-04-1970,7448.9,38.5,370094,37.7573,588.4,204504,69.5445,3263.571,1673.464,601.421,3835.881,3838.128,90,1397.645,71348,105.6766,1266.369
01-07-1970,7464.6,38.9,378678,37.6836,599.1,205174,69.6762,3292.183,1680.531,611.208,3875.916,3899.453,91.4,1424.845,71053,107.677,1290.566
01-10-1970,7497.7,39.4,389158,36.6098,616.4,205906,70.4831,3283.245,1681.319,578.757,3867.39,3890.124,89.7,1458.429,70521,109.774,1328.904
01-01-1971,7558.8,39.9,391668,37.5101,632.9,206567,71.7341,3346.268,1656.742,646.232,3942.708,3967.754,97.4,1478.233,70865,111.5479,1377.49
01-04-1971,7602.5,40.1,397305,37.608,658.4,207163,73.5507,3377.022,1652.914,664.569,4002.06,4025.541,100.3,1516.773,71036,112.1496,1413.887
01-07-1971,7671,40.6,412268,37.8472,679.6,207771,76.2853,3403.947,1652.012,672.632,4041.823,4046.575,101.1,1554.475,71315,114.3772,1433.838
01-10-1971,7730,40.9,424131,38.5253,698.4,208450,78.9773,3460.427,1640.336,654.519,4117.223,4093.754,107.2,1599.204,71642,117.268,1476.289
01-01-1972,7895.1,41.2,427344,40.0728,717.7,208989,81.2625,3506.098,1649.269,697.648,4197.749,4112.5,110.5,1628.946,72441,118.1645,1491.209
01-04-1972,7975.6,41.5,426435,41.1654,738.4,209466,85.836,3572.842,1655.872,737.276,4275.987,4155.218,112.9,1668.662,73162,121.2319,1530.056
01-07-1972,8035.5,41.8,433946,41.2389,759.5,209986,89.7955,3627.904,1624.317,747.745,4338.042,4236.036,116.6,1705.793,73709,124.6817,1560.026
