DATE,NYGDPMKTPCDWLD
1966-01-01,2154637629405.43
1967-01-01,2293872786867.76
1968-01-01,2479011773071.18
1969-01-01,2735531359708.52
1970-01-01,3001559626304.82
1971-01-01,3316060697936.09
1972-01-01,3832675008705.63
1973-01-01,4662491340821.54
1974-01-01,5358933631570.21
1975-01-01,5990674140488.39
1976-01-01,6508276319629.61
1977-01-01,7356785497915.24
1978-01-01,8700846272428.64
1979-01-01,10113430898732.8
1980-01-01,11419164161217.7
1981-01-01,11796482847017.7
1982-01-01,11648085880486.3
1983-01-01,11972210792643.6
1984-01-01,12445989345469.1
1985-01-01,13023992824419.7
1986-01-01,15351689886643.1
1987-01-01,17485079208341.4
1988-01-01,19547533420110.2
1989-01-01,20324144454836.4
1990-01-01,22822610047367.9
1991-01-01,23823551632893.9
1992-01-01,25468013295178.4
1993-01-01,25959419035161.3
1994-01-01,27938851279645.6
1995-01-01,31140610056946.1
1996-01-01,31857694101272.1
1997-01-01,31752297154746.4
1998-01-01,31697043749659.3
1999-01-01,32730998280081.1
2000-01-01,33839387350047.3
2001-01-01,33626960202657.6
2002-01-01,34917697037982.8
2003-01-01,39152139289705.4
2004-01-01,44116244570755.0
2005-01-01,47760320738747.8
2006-01-01,51749808632586.7
2007-01-01,58314867929879.6
2008-01-01,64072295929643.4
2009-01-01,60718262754480.1
2010-01-01,66514174634776.0
2011-01-01,73957792909770.5
2012-01-01,75603976718162.8
2013-01-01,77751368312765.5
2014-01-01,79894385759929.2
2015-01-01,75359657218242.5
2016-01-01,76588030455295.5
2017-01-01,81550955754739.3
2018-01-01,86686870786621.5
2019-01-01,87945574337517.8
2020-01-01,85577718250195.5
2021-01-01,97527032881901.1
2022-01-01,101225059591363.0
2023-01-01,105435039507024.0
